id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
276183449,4866262092195,"- Thiết kế đẹp mắt với nhiều màu gam màu sang trọng tinh tế.- Có độ bền cao, lâu cũ.- Thảm ít bám bụi và dễ dàng cho việc tẩy rửa. tấm thảm này còn là một vật trang trí giúp không gian phòng tắm, k...",135000,135000,,0,0,0,,available,,1000,1000,,4820811,PEAFLO
276018795,5347565910820,"Đặc điểm sản phẩmHộp đựng bằng thép không gỉ màu Xanh Nhạt và Hồng Pastel giúp căn bếp của bạn trở nên sáng sủa và thoải mái hơn.Không còn lo lắng về việc hộp đựng bị ố màu và rò rỉ mùi, hộp có độ ...",109000,198000,,89000,45,2,,available,,1000,1000,,48077,LocknLock
275812669,8663873752207," Đóng gói:  1 set dây rút nhựa có thể ghi chú️ Tính năng Dây rút bằng nhựa dẻo dai, chống nước, giúp cố định hàng hóa, dây cáp. Đầu dây rút có một bảng nhỏ có thể dùng để ghi chú thông tin. Sử dụng t...",19000,20000,,1000,5,0,,available,,1000,1000,,5706641,NAVIVU
275570184,9771821839433,"Đặc điểm nổi bậtThiết kế thời trang, tinh tếChất liệu inox 304 tuyệt đối an toàn cho sức khỏe.Giữ nóng hoàn hảo 8 tiếng nhờ công nghệ hút chân không tiên tiếnBảo toàn vitamin và dưỡng chất có tro...",236000,450000,,214000,48,5,,available,,1000,1000,,31627,Elmich
275511640,6835340124141,"– Thiết kế hiện dại, màu sắc trẻ trung, thời thượng– Kích thước nhỏ gọn, thuận tiện khi nấu nướng– Làm bằng hợp kim nhôm, bên trong phủ chống dính 3 lớp ILAG màu Smockygold an toàn và siêu bền , khô...",206000,369000,,163000,44,12,,available,,1000,1000,,31627,Elmich
275465450,5486636343024,Thông Tin Sản Phẩm- Mã sản phẩm: Khăn Tắm BHD6- Thương hiệu: Hải Cẩu- Kích thước: 50 x 100 cm- Chất liệu: Cotton- Cân nặng: 150g- Sản xuất: Công ty Dệt Gia Dụng Phong Phú- Số lượng: 1...,54400,64000,,9600,15,0,,available,,1000,1000,,229809,Mollis
275367488,8580054108041, ...,188000,390000,,202000,52,9,,available,,1000,1000,,31627,Elmich
275358388,1432066122827,- Được làm từ chất liệu nhựa không chứa BPA độc hại- Khả năng duy trì nhiệt độ từ -20 độ C đến dưới 60 độ C- Cấu tạo dễ dàng tháo rời thuận tiện cho việc vệ sinh bình- Nắp đậy chắc chắn ngăn chặn t...,39000,77000,,38000,49,14,,available,,1000,1000,,48077,LocknLock
275008437,9322781769931,- Bình đun 2 trong 1- Thiết kế nhỏ gọn- Giữ ấm 8 cấp độ- Màn hình hiển thị- Dễ dàng mang theo- Vật liệu bền bỉ- Vòng đế silicon- Thiết kế an toàn- Túi Cotton- Tích hợp chức năng của ấm điện m...,869000,1580000,,711000,45,7,,available,,1000,1000,,48077,LocknLock
274721418,6774154135435,"Ô Dù Che Mưa Nắng TỰ ĐỘNG Xếp Gọn Chống UV Phiên Bản CAO CẤP Cho Ô Tô Xe Hơi (nhiều màu sắc) PHIÊN BẢN ĐẶC BIỆT: 12 nan! DÙ NẮNG HAY MƯA, đã CHẠY XE HƠI thì nên dùng Ô XẾP GỌN TỰ ĐỘNG!!!  TỰ BUNG ra...",149000,149000,,0,0,14,,available,,1000,1000,,7467501,EVENDAY
